eeincome1,erbmi,erhhch,erspemch,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eugroshp,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm
2,-1,3,5,25,15,1,1,1,2,-1,1,2,2,1,1,1,2,1,1,2,1,1
1,26.5,3,5,40,2,-1,2,1,2,-1,1,3,1,1,2,-1,-1,2,-1,-1,-1,-1
1,24.200001,2,-1,0,10,-1,2,1,2,-1,1,2,1,1,2,-1,-1,2,-1,-1,-1,-1
2,31.1,3,-1,65,5,1,1,1,2,-1,2,-1,-1,1,1,1,2,1,1,1,1,2
1,26.6,3,-1,70,120,-1,1,1,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,30.1,3,-1,60,15,-1,2,1,2,-1,1,3,2,1,1,1,2,1,-1,2,4,2
1,29.5,3,5,75,15,1,1,1,1,3,1,2,2,1,2,-1,-1,2,1,-1,-1,-1
1,29,3,5,25,15,1,1,1,1,3,2,-1,-1,1,1,1,2,3,1,2,1,2
-2,-1,3,-1,150,0,-1,2,2,1,3,1,3,2,1,1,1,2,1,-1,1,3,2
1,20.799999,3,-1,140,60,-1,1,1,1,5,2,-1,-1,1,1,2,2,1,2,1,3,-1
2,24.4,3,-1,17,0,-1,1,2,2,-1,1,2,2,2,3,1,2,3,2,2,2,2
2,20.799999,3,-1,40,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,2,1,2
1,36.599998,3,5,20,40,-1,1,1,2,-1,1,1,2,1,2,1,2,1,2,-1,-1,2
1,27.4,3,5,120,2,2,1,1,1,2,1,3,1,1,3,-1,-1,2,1,2,1,-1
3,32,3,-1,65,70,-1,1,1,2,-1,1,2,2,1,1,1,2,1,2,1,2,2
1,24.299999,3,-1,35,20,-1,2,1,1,1,1,10,1,1,1,1,2,1,-1,1,2,2
1,30.200001,3,-1,20,0,-1,2,2,1,7,1,4,2,1,1,1,2,1,-1,1,4,2
1,26.6,3,-1,80,7,-1,2,1,1,3,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,37.599998,3,5,40,0,-1,1,2,2,-1,1,2,2,1,1,1,2,1,2,2,4,2
1,21.299999,3,5,50,30,-1,2,1,1,2,2,-1,-1,1,1,1,2,1,-1,1,4,2
1,-1,3,-1,0,20,-1,1,1,2,-1,1,4,1,1,1,1,2,1,2,2,4,2
2,33.400002,3,-1,90,10,-1,2,1,1,2,2,-1,-1,1,1,2,2,1,-1,1,1,-1
1,-1,3,5,120,0,-1,2,2,2,-1,1,6,1,1,1,1,2,1,-1,1,4,1
2,28.299999,1,5,120,10,-1,2,1,1,1,2,-1,-1,1,1,1,2,1,-1,2,2,2
1,30.4,3,-1,30,10,-1,2,1,2,-1,1,1,2,1,1,1,2,1,-1,2,4,2
-3,25.200001,3,5,70,60,-1,2,1,1,21,1,1,2,1,2,1,2,3,-1,-1,-1,1
1,28.6,3,5,45,0,-1,2,2,1,10,1,5,2,1,3,1,2,3,-1,1,2,2
1,32.200001,3,5,30,30,1,1,1,1,3,1,3,2,1,1,1,2,1,1,1,1,2
2,31.799999,3,5,0,30,-1,1,1,2,-1,1,2,2,1,1,1,2,1,2,1,1,1
2,25.799999,3,-1,45,60,2,1,1,2,-1,2,-1,-1,1,1,1,2,1,1,2,4,2
2,21.1,3,-1,106,60,2,1,1,1,1,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
1,29.1,3,5,120,0,-1,1,2,1,5,1,1,2,1,1,2,2,1,2,1,3,-1
-2,29.299999,3,-1,60,0,2,1,2,2,-1,2,-1,-1,1,1,-1,-1,2,1,1,-2,-1
2,22.299999,3,5,90,0,2,1,2,2,-1,1,1,1,1,1,1,2,1,1,2,2,2
3,30.700001,3,-1,60,0,-1,2,2,1,2,1,1,2,1,2,-1,-1,2,-1,-1,-1,-1
1,23.6,2,-1,29,0,-1,2,2,2,-1,1,2,1,1,1,1,2,1,-1,2,4,2
-3,23.6,3,-1,45,0,1,1,2,2,-1,1,1,2,1,1,2,2,1,1,2,1,-1
-3,28.200001,3,-1,90,0,2,1,2,2,-1,1,1,2,1,1,2,2,1,1,1,2,-1
1,23,3,-1,0,20,1,1,1,1,2,1,4,2,1,1,2,2,1,1,2,1,-1
2,31.700001,3,5,25,30,1,1,1,1,3,1,2,2,1,2,1,2,1,1,-1,-1,2
1,27.5,3,-1,75,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
2,29,3,5,15,2,2,1,1,1,3,1,2,2,1,1,1,2,1,1,1,6,1
1,24.799999,3,-1,0,20,-1,1,1,1,5,1,1,2,1,1,1,2,1,2,3,1,2
1,32.900002,3,5,40,50,-1,1,1,2,-1,2,-1,-1,1,1,1,2,1,2,1,2,2
1,19.700001,3,5,90,10,-1,1,1,2,-1,1,2,2,1,1,1,2,1,2,2,1,2
1,17.200001,3,5,60,35,-1,1,1,1,4,2,-1,-1,1,2,1,2,3,2,-1,-1,2
1,25.6,3,-1,15,30,-1,1,1,1,4,2,-1,-1,1,1,1,2,1,2,1,2,2
1,35.400002,3,5,180,630,-1,2,1,2,-1,2,-1,-1,1,3,1,2,1,-1,1,1,2
1,25.1,3,5,85,150,-1,1,1,1,4,1,2,2,1,3,-1,-1,2,2,1,4,-1
1,26.9,3,-1,55,15,-1,1,1,1,7,2,-1,-1,1,1,1,2,1,2,1,3,2
2,21.1,2,-1,15,0,-1,2,2,1,7,2,-1,-1,1,1,1,2,1,-1,1,2,2
2,26.9,3,-1,30,0,-1,2,2,2,-1,2,-1,-1,1,1,1,1,1,-1,1,1,2
2,33.200001,3,5,120,0,-1,2,2,1,2,1,2,1,1,2,-1,-1,2,-1,-1,-1,-1
1,28.299999,3,5,25,50,-1,1,1,2,-1,1,7,2,1,1,1,2,1,2,2,2,2
1,34.200001,3,5,90,15,-1,1,1,1,2,1,1,2,1,2,1,2,3,2,-1,-1,2
2,31.799999,3,-1,25,0,-1,2,2,2,-1,1,2,2,1,1,-1,-1,2,-1,3,3,-1
1,23.799999,1,5,135,0,2,1,2,1,1,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
2,42.799999,3,-1,30,5,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
2,23.700001,3,-1,50,20,2,1,1,1,2,2,-1,-1,1,2,-1,-1,2,1,-1,-1,-1
1,21.700001,3,5,45,40,-1,2,1,1,6,1,6,1,1,3,1,2,1,-1,2,2,2
1,27.4,3,5,70,20,-1,1,1,1,3,2,-1,-1,1,1,1,2,1,2,1,2,2
1,26.5,3,5,60,120,-1,1,1,2,-1,2,-1,-1,1,1,-1,-1,2,2,1,1,-1
1,36.599998,3,5,75,0,-1,1,2,1,3,2,-1,-1,1,1,1,2,1,2,1,5,2
1,30.4,3,-1,45,30,2,1,1,1,4,1,3,2,1,2,-1,-1,2,1,-1,-1,-1
2,22.1,3,-1,50,0,-1,1,2,1,5,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,21.299999,3,-1,75,5,-1,1,1,1,3,1,1,2,1,1,1,2,1,2,1,4,1
2,37,3,5,120,0,-1,2,2,2,-1,2,-1,-1,1,1,-1,-1,2,-1,2,1,-1
1,26.200001,2,5,65,10,-1,1,1,2,-1,1,4,2,1,1,1,1,1,2,2,2,2
1,25.9,3,5,75,0,-1,2,2,1,7,2,-1,-1,1,1,1,2,1,-1,1,2,2
1,27.700001,3,5,105,2,2,1,1,1,4,2,-1,-1,1,1,1,2,1,1,1,4,1
1,18.5,3,5,75,-2,-1,1,-2,2,-1,1,2,1,1,1,1,2,1,2,1,1,2
2,27.1,3,-1,20,7,-1,1,1,2,-1,1,2,2,1,1,1,2,1,2,1,1,2
1,32.5,3,5,60,30,1,1,1,1,4,2,-1,-1,1,3,1,2,3,1,1,2,2
2,-1,3,-1,20,0,-1,1,2,2,-1,1,1,1,1,1,1,2,1,2,2,1,2
2,14.9,3,-1,15,5,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,2,4,2
2,36.900002,3,5,150,450,-1,2,1,2,-1,1,2,2,1,2,-1,-1,2,-1,-1,-1,-1
3,27.4,3,5,240,405,1,1,1,1,2,1,3,2,1,1,1,2,1,1,2,1,2
1,23.799999,3,3,155,0,-1,1,2,1,4,1,1,1,1,3,1,2,1,2,1,2,1
2,31.9,3,-1,90,0,-1,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,23,3,5,40,0,-1,2,2,2,-1,1,2,1,1,3,1,2,3,-1,2,3,2
1,19.200001,3,-1,15,85,-1,1,1,1,4,1,4,1,1,2,-1,-1,2,2,-1,-1,-1
1,30.1,3,5,180,9,-1,1,1,1,1,2,-1,-1,1,1,1,2,1,2,1,5,2
1,24.6,3,5,90,0,-1,2,2,1,2,2,-1,-1,1,1,1,2,1,-1,1,2,2
3,26.4,3,4,70,110,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2
1,20.6,2,-1,60,20,-1,1,1,1,2,1,1,2,1,2,1,2,1,2,-1,-1,2
2,-1,3,-1,105,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,4,2,1
2,28.200001,3,-1,45,5,-1,2,1,2,-1,1,8,1,1,2,-1,-1,2,-1,-1,-1,-1
1,30.700001,3,-1,175,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,4,2
2,38.099998,1,5,40,5,-1,1,1,2,-1,1,7,1,1,2,-1,-1,2,2,-1,-1,-1
1,27.799999,3,-1,20,0,-1,2,2,1,1,1,1,2,1,1,2,2,1,-1,3,6,-1
1,21.6,3,2,15,30,-1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2
1,24.9,3,5,35,0,-1,1,2,1,3,1,3,2,1,2,1,2,3,2,-1,-1,2
1,24.700001,3,5,35,0,-1,2,2,1,7,1,2,2,1,1,1,2,1,-1,1,4,2
1,26.9,3,-1,105,10,3,1,1,1,6,2,-1,-1,1,1,-1,-1,2,1,2,1,-1
1,25.799999,3,5,25,10,2,1,1,1,2,1,3,1,1,1,-1,-1,2,1,1,2,-1
1,26.799999,3,5,30,20,2,1,1,2,-1,2,-1,-1,1,1,-1,-1,2,1,2,4,-1
1,29,3,-1,180,60,-1,2,1,1,2,1,1,2,1,3,-1,-1,2,-1,1,6,-1
2,29.6,3,-1,182,0,-1,1,2,2,-1,1,4,1,1,1,1,2,1,2,5,2,2
-3,-1,3,-1,30,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
2,35.200001,1,-1,80,15,-1,1,1,2,-1,1,2,1,1,1,1,2,1,2,1,1,2
1,29.5,3,5,0,50,1,1,1,2,-1,1,1,1,1,2,-1,-1,2,1,-1,-1,-1
2,23.6,3,5,30,0,-1,2,2,2,-1,2,-1,-1,1,2,2,2,1,-1,-1,-1,-1
1,23.9,3,5,65,15,1,1,1,1,2,1,3,1,1,1,1,2,1,1,2,1,2
2,20.4,1,-1,105,0,-1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2
1,19.700001,3,-1,30,20,-1,1,1,1,2,2,-1,-1,1,1,1,2,1,2,1,4,2
1,21.9,3,-1,20,12,2,1,1,1,5,1,3,1,1,2,1,2,3,1,-1,-1,1
2,29,3,5,30,0,-1,2,1,1,2,1,1,1,1,2,-1,-1,2,-1,-1,-1,-1
2,34.900002,1,5,20,15,2,1,1,2,-1,2,-1,-1,1,3,-1,-1,2,1,1,1,-1
1,28.200001,3,1,60,5,-1,2,1,1,4,1,1,2,1,1,1,2,1,-1,1,2,2
1,25.799999,3,5,60,0,1,1,2,1,5,1,1,2,1,1,2,2,1,1,1,3,-1
2,-1,3,5,70,0,2,1,2,2,-1,1,2,2,1,1,1,2,1,1,2,2,1
1,27.5,3,-1,150,0,-1,2,2,1,7,1,2,2,1,2,-1,-1,2,-1,-1,-1,-1
2,-1,3,5,30,5,-1,2,1,2,-1,2,-1,-1,1,1,1,2,1,-1,2,6,2
1,24.700001,3,5,45,15,-1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,2
1,30.299999,3,5,60,30,-1,1,1,1,7,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
2,21.299999,3,-1,90,0,3,1,2,2,-1,1,14,1,1,1,2,1,1,1,1,2,-1
1,19.299999,3,5,40,10,2,1,1,2,-1,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
2,29.700001,3,5,30,0,-1,2,2,1,1,1,1,2,1,3,1,2,3,-1,1,6,2
1,27,3,-1,75,0,-1,1,2,2,-1,1,2,2,1,1,1,1,1,2,1,2,2
1,29.200001,3,5,120,15,-1,1,1,1,8,1,1,2,1,3,1,2,3,2,1,4,2
1,34.299999,3,-1,60,12,-1,2,1,1,5,1,7,2,1,1,2,1,1,-1,2,2,-1
1,24.799999,3,5,120,0,-1,1,2,1,3,1,2,2,1,1,1,2,1,2,2,2,2
1,29.799999,3,5,110,0,-1,1,2,2,-1,1,2,2,1,2,-1,-1,2,2,-1,-1,-1
1,21.5,3,-1,135,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,2,6,2
3,17.200001,3,-1,75,10,-1,1,1,1,6,1,5,1,1,1,2,2,1,2,1,2,-1
1,20.299999,3,3,210,0,-1,1,2,1,7,2,-1,-1,1,3,1,2,1,2,1,3,2
1,24.299999,3,1,40,0,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,2
2,32.599998,3,-1,90,0,-1,1,2,2,-1,2,-1,-1,1,1,2,2,1,2,2,4,-1
2,51.5,3,3,90,10,-1,2,1,1,2,2,-1,-1,1,3,-1,-1,2,-1,1,1,-1
1,25.700001,3,5,75,60,-1,1,1,1,5,1,1,2,1,2,-1,-1,2,2,-1,-1,-1
2,38.299999,3,5,30,10,-1,2,1,1,4,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
2,20.1,3,5,40,60,-1,2,1,1,1,2,-1,-1,1,1,1,2,1,-1,4,1,1
2,30.200001,3,-1,30,25,2,1,1,1,1,1,2,2,1,1,1,2,3,1,1,1,2
1,35,3,5,50,5,1,1,1,1,3,1,7,1,1,2,-1,-1,2,1,-1,-1,-1
2,21.5,3,-1,180,0,-1,1,2,1,7,2,-1,-1,1,1,1,2,1,2,1,2,2
2,38.900002,3,-1,12,0,-1,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
2,29,3,-1,120,0,-1,2,2,1,7,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
2,40.900002,3,-1,20,5,-1,2,1,1,5,1,1,2,1,1,1,2,1,-1,1,2,2
2,31.6,3,-1,25,0,-1,1,1,1,1,2,-1,-1,1,1,1,2,1,2,2,1,2
1,30.4,3,-1,20,20,-1,1,1,2,-1,1,2,2,1,2,-1,-1,2,2,-1,-1,-1
1,28.200001,1,5,60,40,1,1,1,2,-1,1,3,1,1,1,1,2,3,1,5,6,2
1,25,3,-1,10,20,-1,1,1,2,-1,1,3,1,1,1,1,2,1,2,1,4,2
2,37.700001,3,5,105,0,-1,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
1,23,3,-1,180,5,-1,1,1,1,2,2,-1,-1,1,1,1,2,1,2,3,6,1
1,23.1,3,5,15,0,2,1,2,2,-1,1,5,1,1,2,-1,-1,2,1,-1,-1,-1
1,25.9,3,-1,90,0,1,1,2,1,6,1,3,2,1,1,1,2,1,1,1,3,2
1,21.6,3,5,70,10,-1,1,1,1,2,1,4,1,1,1,1,2,1,2,2,1,2
1,20.299999,3,-1,50,0,2,1,2,1,7,1,1,2,1,2,-1,-1,2,1,-1,-1,-1
1,-1,3,1,30,90,-1,2,1,2,-1,1,1,2,2,3,1,2,3,-1,3,3,2
3,29.200001,3,-1,20,40,-1,2,1,1,3,1,2,1,1,3,1,2,3,-1,1,3,2
1,25.700001,3,5,45,0,-1,2,2,1,10,1,3,2,1,1,1,1,1,-1,1,3,2
1,23.299999,3,4,90,-2,1,1,-2,2,-1,1,1,2,1,1,1,2,1,1,1,2,1
-2,18.299999,3,-1,15,0,-1,2,2,2,-1,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
1,18,3,-1,10,12,-1,1,1,1,5,1,1,2,1,2,-1,-1,2,2,-1,-1,-1
1,22.9,3,-1,65,10,-1,1,1,1,1,2,-1,-1,1,1,1,2,1,2,1,2,2
1,38.400002,3,5,60,10,1,1,1,1,5,1,4,1,1,2,-1,-1,2,1,-1,-1,-1
1,24.4,3,-1,10,5,-1,2,1,1,1,1,1,1,1,2,-1,-1,2,-1,-1,-1,-1
-2,41.799999,3,-1,65,7,2,1,1,1,3,2,-1,-1,2,1,-1,-1,2,1,1,-2,-1
2,26.6,3,5,50,0,-1,2,2,2,-1,2,-1,-1,1,1,1,2,1,-1,1,2,2
1,26.4,3,-1,95,0,-1,2,2,2,-1,1,4,2,1,1,1,2,1,-1,2,1,2
1,23.6,3,5,50,15,2,1,1,1,6,2,-1,-1,1,3,-1,-1,2,1,5,1,-1
2,23.1,3,5,160,0,-1,1,2,2,-1,2,-1,-1,1,2,1,2,1,2,-1,-1,2
2,29,3,5,105,0,-1,2,2,2,-1,2,-1,-1,1,3,1,2,1,-1,1,-3,2
2,26.5,3,-1,70,10,-1,2,1,1,7,2,-1,-1,1,1,2,2,3,-1,1,2,-1
2,28.4,3,2,80,0,-1,1,2,1,3,1,3,2,1,1,1,2,1,2,1,3,2
2,25.5,3,-1,20,0,-1,1,2,2,-1,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1
2,31.299999,3,5,0,45,-1,1,1,2,-1,2,-1,-1,1,3,1,2,3,2,1,2,2
1,20.299999,3,-1,130,5,-1,1,1,1,6,1,1,2,1,1,1,2,1,2,1,2,2
2,30.4,3,5,30,0,2,1,2,2,-1,2,-1,-1,3,2,-1,-1,2,1,-1,-1,-1
2,30,3,-1,25,620,2,1,1,2,-1,1,1,2,1,1,1,2,1,1,1,2,2
1,37.700001,3,5,60,0,-1,1,2,2,-1,1,2,2,1,1,1,2,1,2,2,1,2
2,25.700001,3,-1,0,0,-1,2,2,1,4,2,-1,-1,3,2,-1,-1,2,-1,-1,-1,-1
2,-1,3,-1,210,0,-1,1,1,2,-1,2,-1,-1,1,2,2,2,1,2,-1,-1,-1
1,29.200001,3,-1,50,0,-1,1,2,1,6,2,-1,-1,1,1,1,2,1,2,1,4,2
1,28,3,-1,180,0,2,1,2,1,3,1,1,2,1,1,1,2,1,1,5,2,2
1,31.6,3,5,45,8,-1,1,1,2,-1,1,5,2,1,3,1,2,3,2,1,2,2
2,32.900002,3,-1,25,0,-1,1,2,1,3,1,3,1,1,2,1,2,1,2,-1,-1,2
2,31.6,3,1,115,5,2,1,1,2,-1,1,5,1,1,3,-1,-1,2,1,2,6,-1
2,21.200001,3,-1,35,10,-1,1,1,1,7,1,2,2,1,2,-1,-1,2,2,-1,-1,-1
1,28,3,5,30,0,1,1,2,2,-1,1,3,2,1,1,1,2,1,1,2,1,1
1,20,3,5,45,0,-1,1,2,1,7,1,2,2,1,1,1,2,1,2,1,5,2
1,31,3,-1,0,5,-1,1,1,1,7,1,7,1,2,1,2,2,1,2,1,2,-1
-2,31.200001,3,-1,210,0,-1,2,2,1,7,2,-1,-1,1,2,-1,-1,2,-1,-1,-1,-1
3,14.5,3,2,10,0,-1,2,2,1,5,1,1,2,1,1,1,2,1,-1,2,5,2
-3,-1,3,-1,30,0,1,1,2,-3,-1,-3,-1,-1,-3,1,-1,-1,-3,1,-3,-1,-1
2,22.799999,3,-1,10,45,-1,1,1,1,4,2,-1,-1,1,1,1,2,1,2,1,3,2
1,29,3,5,50,5,2,1,1,1,7,1,1,2,1,1,1,2,1,1,1,1,1
2,35.099998,3,-1,30,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,1,2,2
2,36.200001,3,5,40,10,-1,2,1,1,-2,1,1,2,1,1,1,2,3,-1,3,2,2
2,28.299999,3,-1,195,0,-1,1,2,1,6,2,-1,-1,1,2,1,2,1,2,-1,-1,2
1,33.200001,3,5,130,15,-1,1,1,1,3,1,4,1,1,2,-1,-1,2,2,-1,-1,-1
2,34.200001,1,-1,50,15,-1,2,1,2,-1,2,-1,-1,2,1,1,1,1,-1,1,6,1
1,18.799999,1,-1,15,20,-1,2,1,2,-1,1,2,1,1,1,2,2,1,-1,1,2,-1
1,-1,3,-1,60,10,-1,1,1,2,-1,1,2,2,1,2,-1,-1,2,2,-1,-1,-1
2,37.099998,1,-1,47,0,2,1,2,1,5,1,4,1,1,1,1,2,1,1,1,2,2
2,42.900002,3,-1,30,0,-1,1,2,2,-1,1,1,2,1,1,1,2,1,2,1,1,2
2,42.599998,3,-1,45,0,-1,1,2,1,3,2,-1,-1,2,1,1,2,1,2,1,2,2
2,33.099998,3,5,40,0,-1,1,2,2,-1,1,2,1,1,1,1,2,1,2,2,1,2
1,38.099998,3,1,46,0,-1,1,2,2,-1,2,-1,-1,1,1,1,2,1,2,2,2,2
1,25.1,3,4,75,15,1,1,1,1,2,1,1,2,1,1,-1,-1,2,1,1,2,-1
